solved_status,result,problem_id,level,accuracy,solved_count,error_count,rating,tag1,tag2,tag3,tag4,tag5,user_id,skills,solved_count,attempts,user_type
AT,PAC,903637,E,0.81,312,410,4.1,Ad-Hoc,,,,,1310707,C,1,3,NA
SO,AC,908344,E,0.64,8922,7150,3.7,Basic Programming,Very Easy,,,,1159815,Java,1,0,W
SO,PAC,906962,M,0.58,109,879,0.0,Ad-Hoc,Data Structures,,,,969718,Python|C|C++,3,9,W
SO,PAC,906962,M,0.58,109,879,0.0,Ad-Hoc,Data Structures,,,,969718,Python|C|C++,3,9,W
AT,PAC,906962,M,0.58,109,879,0.0,Ad-Hoc,Data Structures,,,,969718,Python|C|C++,3,9,W
SO,PAC,906962,M,0.58,109,879,0.0,Ad-Hoc,Data Structures,,,,969718,Python|C|C++,3,9,W
AT,PAC,906962,M,0.58,109,879,0.0,Ad-Hoc,Data Structures,,,,969718,Python|C|C++,3,9,W
AT,PAC,906962,M,0.58,109,879,0.0,Ad-Hoc,Data Structures,,,,969718,Python|C|C++,3,9,W
AT,PAC,906962,M,0.58,109,879,0.0,Ad-Hoc,Data Structures,,,,969718,Python|C|C++,3,9,W
SO,AC,908344,E,0.64,8922,7150,3.7,Basic Programming,Very Easy,,,,1293954,Java,7,3,NA
AT,PAC,925525,E,0.19,469,5169,3.8,Ad-Hoc,Math,Simulation,,,1194639,C#,13,9,W
SO,PAC,925525,E,0.19,469,5169,3.8,Ad-Hoc,Math,Simulation,,,1194639,C#,13,9,W
SO,PAC,925525,E,0.19,469,5169,3.8,Ad-Hoc,Math,Simulation,,,1194639,C#,13,9,W
AT,PAC,917889,E,0.35,188,488,4.5,Implementation,Dynamic Programming,,,,964499,C|C++,90,148,S
SO,PAC,917889,E,0.35,188,488,4.5,Implementation,Dynamic Programming,,,,964499,C|C++,90,148,S
SO,AC,917889,E,0.35,188,488,4.5,Implementation,Dynamic Programming,,,,964499,C|C++,90,148,S
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
AT,PAC,931655,E,0.05,110,2460,3.7,,,,,,1136164,C|C++,40,289,W
SO,AC,918874,E,0.71,7297,3669,3.4,Ad-Hoc,String Algorithms,,,,1254880,Python|C++,57,23,W
SO,AC,918874,E,0.71,7297,3669,3.4,Ad-Hoc,String Algorithms,,,,1254880,Python|C++,57,23,W
SO,PAC,905378,H,0.58,27,1017,0.0,Dynamic Programming,Algorithms,Math,,,960778,JavaScript(Node.js)|C|JavaScript|Java|JavaScript(Rhino),9,38,W
SO,PAC,905378,H,0.58,27,1017,0.0,Dynamic Programming,Algorithms,Math,,,960778,JavaScript(Node.js)|C|JavaScript|Java|JavaScript(Rhino),9,38,W
SO,PAC,905378,H,0.58,27,1017,0.0,Dynamic Programming,Algorithms,Math,,,960778,JavaScript(Node.js)|C|JavaScript|Java|JavaScript(Rhino),9,38,W
AT,PAC,905378,H,0.58,27,1017,0.0,Dynamic Programming,Algorithms,Math,,,960778,JavaScript(Node.js)|C|JavaScript|Java|JavaScript(Rhino),9,38,W
SO,PAC,905378,H,0.58,27,1017,0.0,Dynamic Programming,Algorithms,Math,,,960778,JavaScript(Node.js)|C|JavaScript|Java|JavaScript(Rhino),9,38,W
SO,AC,908618,E,0.61,49,158,0.0,Ad-Hoc,Basic Programming,,,,948072,C++,6,2,NA
AT,PAC,937441,E,0.35,123,2626,3.5,,,,,,1183582,C|Java|C++,11,55,NA
AT,PAC,937441,E,0.35,123,2626,3.5,,,,,,1183582,C|Java|C++,11,55,NA
SO,PAC,932817,E,0.91,80,100,4.2,Graph Theory,Disjoint Set,DFS,,,952913,Python|C|Java|C++,128,78,W
SO,PAC,932817,E,0.91,80,100,4.2,Graph Theory,Disjoint Set,DFS,,,952913,Python|C|Java|C++,128,78,W
SO,PAC,932817,E,0.91,80,100,4.2,Graph Theory,Disjoint Set,DFS,,,952913,Python|C|Java|C++,128,78,W
SO,PAC,932817,E,0.91,80,100,4.2,Graph Theory,Disjoint Set,DFS,,,952913,Python|C|Java|C++,128,78,W
SO,AC,932817,E,0.91,80,100,4.2,Graph Theory,Disjoint Set,DFS,,,952913,Python|C|Java|C++,128,78,W
SO,AC,932817,E,0.91,80,100,4.2,Graph Theory,Disjoint Set,DFS,,,952913,Python|C|Java|C++,128,78,W
AT,PAC,913129,E,0.11,314,3088,4.0,Algorithms,,,,,1016992,C|C++,79,50,NA
SO,AC,913129,E,0.11,314,3088,4.0,Algorithms,,,,,1016992,C|C++,79,50,NA
SO,AC,929621,E,0.37,1095,2304,3.6,Dynamic Programming,,,,,942064,Python|C|C++,185,108,S
SO,AC,912394,E,0.59,240,694,5.0,Data-Structures,Data Structures,Priority Queue,Priority-Queue,Maps,1073591,Python|Java,16,10,W
AT,PAC,903637,E,0.81,312,410,4.1,Ad-Hoc,,,,,1410586,Java|C++,32,34,W
AT,PAC,903637,E,0.81,312,410,4.1,Ad-Hoc,,,,,1410586,Java|C++,32,34,W
AT,PAC,903637,E,0.81,312,410,4.1,Ad-Hoc,,,,,1410586,Java|C++,32,34,W
AT,PAC,903637,E,0.81,312,410,4.1,Ad-Hoc,,,,,1410586,Java|C++,32,34,W
AT,PAC,903637,E,0.81,312,410,4.1,Ad-Hoc,,,,,1410586,Java|C++,32,34,W
AT,PAC,931654,E-M,0.05,29,745,3.7,,,,,,1081576,Java,5,26,W
SO,AC,918874,E,0.71,7297,3669,3.4,Ad-Hoc,String Algorithms,,,,1017064,C|C++,11,15,NA
AT,PAC,907300,E,0.33,131,396,0.0,Math,Simple-math,,,,1105130,C#|Python|C|Java|C++,59,64,NA
AT,PAC,907300,E,0.33,131,396,0.0,Math,Simple-math,,,,1105130,C#|Python|C|Java|C++,59,64,NA
SO,PAC,919088,E,0.88,1505,621,3.5,Binary Search,,,,,1331351,C|Java,21,9,W
SO,PAC,919088,E,0.88,1505,621,3.5,Binary Search,,,,,1331351,C|Java,21,9,W
SO,PAC,919088,E,0.88,1505,621,3.5,Binary Search,,,,,1331351,C|Java,21,9,W
SO,PAC,919088,E,0.88,1505,621,3.5,Binary Search,,,,,1331351,C|Java,21,9,W
AT,PAC,929658,M,0.31,16,295,3.9,,,,,,1235857,C#,1,3,W
SO,PAC,917504,E,0.72,609,755,4.0,Ad-Hoc,Basic Programming,,,,912005,C|C++,59,86,S
SO,PAC,917504,E,0.72,609,755,4.0,Ad-Hoc,Basic Programming,,,,912005,C|C++,59,86,S
AT,PAC,909325,E,0.41,1390,2210,2.9,Basic Programming,,,,,983953,Java,14,8,W
SO,AC,909325,E,0.41,1390,2210,2.9,Basic Programming,,,,,983953,Java,14,8,W
AT,PAC,908455,E,0.7,683,1850,2.8,Basic Programming,Sorting,Greedy,,,968221,C|C++,87,149,NA
AT,PAC,908455,E,0.7,683,1850,2.8,Basic Programming,Sorting,Greedy,,,968221,C|C++,87,149,NA
AT,PAC,905681,E,0.33,113,261,3.5,Basic Programming,Implementation,,,,980776,Python|C|C++ (g++ 4.8.1)|C++,381,423,W
SO,AC,905681,E,0.33,113,261,3.5,Basic Programming,Implementation,,,,980776,Python|C|C++ (g++ 4.8.1)|C++,381,423,W
SO,AC,906552,E,0.38,1265,2545,3.5,Ad-Hoc,,,,,967234,C#|C|C++,17,17,S
SO,AC,906552,E,0.38,1265,2545,3.5,Ad-Hoc,,,,,967234,C#|C|C++,17,17,S
SO,PAC,909402,M,0.9,28,109,0.0,Ad-Hoc,Algorithms,,,,1045476,C|Java|C++,40,161,W
SO,PAC,909402,M,0.9,28,109,0.0,Ad-Hoc,Algorithms,,,,1045476,C|Java|C++,40,161,W
SO,PAC,909402,M,0.9,28,109,0.0,Ad-Hoc,Algorithms,,,,1045476,C|Java|C++,40,161,W
SO,PAC,909402,M,0.9,28,109,0.0,Ad-Hoc,Algorithms,,,,1045476,C|Java|C++,40,161,W
SO,PAC,909402,M,0.9,28,109,0.0,Ad-Hoc,Algorithms,,,,1045476,C|Java|C++,40,161,W
SO,AC,925605,,0.87,128,72,4.2,,,,,,1092532,C|Java|C++,300,178,NA
SO,AC,908344,E,0.64,8922,7150,3.7,Basic Programming,Very Easy,,,,1007964,C|Java|C++,17,44,W
SO,PAC,918421,M,0.7,17,161,3.8,Algorithms,KMP,,,,1013062,Python|Java|C++,45,53,W
SO,AC,931224,,0.88,479,95,2.9,,,,,,1331754,C|C++,47,23,NA
SO,PAC,918786,E,0.63,755,1071,3.4,Ad-Hoc,,,,,948154,Python|C,15,45,S
SO,AC,926073,E,0.45,218,2041,3.4,Basic Programming,,,,,953806,Python|Java|C++,45,33,S
SO,AC,926073,E,0.45,218,2041,3.4,Basic Programming,,,,,953806,Python|Java|C++,45,33,S
SO,AC,926073,E,0.45,218,2041,3.4,Basic Programming,,,,,953806,Python|Java|C++,45,33,S
SO,PAC,910248,,0.91,137,177,0.0,,,,,,1018448,C|C++,38,66,W
SO,PAC,910248,,0.91,137,177,0.0,,,,,,1018448,C|C++,38,66,W
SO,PAC,910248,,0.91,137,177,0.0,,,,,,1018448,C|C++,38,66,W
AT,PAC,910248,,0.91,137,177,0.0,,,,,,1018448,C|C++,38,66,W
SO,PAC,910248,,0.91,137,177,0.0,,,,,,1018448,C|C++,38,66,W
SO,PAC,910248,,0.91,137,177,0.0,,,,,,1018448,C|C++,38,66,W
SO,PAC,910248,,0.91,137,177,0.0,,,,,,1018448,C|C++,38,66,W
AT,PAC,910248,,0.91,137,177,0.0,,,,,,1018448,C|C++,38,66,W
AT,PAC,910248,,0.91,137,177,0.0,,,,,,1018448,C|C++,38,66,W
SO,PAC,910248,,0.91,137,177,0.0,,,,,,1018448,C|C++,38,66,W
SO,PAC,910248,,0.91,137,177,0.0,,,,,,1018448,C|C++,38,66,W
SO,PAC,910248,,0.91,137,177,0.0,,,,,,1018448,C|C++,38,66,W
SO,PAC,910248,,0.91,137,177,0.0,,,,,,1018448,C|C++,38,66,W
SO,PAC,910248,,0.91,137,177,0.0,,,,,,1018448,C|C++,38,66,W
AT,PAC,919002,E,0.84,2160,1035,3.0,Sorting,Algorithms,,,,1273229,C++,0,14,W
AT,PAC,907814,E,0.48,252,671,4.5,Data Structures,,,,,960803,C#|C|Java|C++,73,127,W
AT,PAC,907814,E,0.48,252,671,4.5,Data Structures,,,,,960803,C#|C|Java|C++,73,127,W
AT,PAC,907814,E,0.48,252,671,4.5,Data Structures,,,,,960803,C#|C|Java|C++,73,127,W
AT,PAC,907814,E,0.48,252,671,4.5,Data Structures,,,,,960803,C#|C|Java|C++,73,127,W
AT,PAC,907814,E,0.48,252,671,4.5,Data Structures,,,,,960803,C#|C|Java|C++,73,127,W
AT,PAC,907814,E,0.48,252,671,4.5,Data Structures,,,,,960803,C#|C|Java|C++,73,127,W
SO,PAC,907814,E,0.48,252,671,4.5,Data Structures,,,,,960803,C#|C|Java|C++,73,127,W
SO,AC,907814,E,0.48,252,671,4.5,Data Structures,,,,,960803,C#|C|Java|C++,73,127,W
SO,PAC,921903,E,0.73,251,1569,3.7,Ad-Hoc,,,,,959823,C#|Java|C++,31,19,S
SO,PAC,921903,E,0.73,251,1569,3.7,Ad-Hoc,,,,,959823,C#|Java|C++,31,19,S
SO,AC,906349,E,0.62,2534,2199,3.9,Ad-Hoc,Data Structures,Brute Force,,,923691,C|C++,58,39,S
SO,PAC,908045,E,0.67,139,216,0.0,Algorithms,,,,,937306,Python|Java|C++,359,286,S
SO,PAC,908045,E,0.67,139,216,0.0,Algorithms,,,,,937306,Python|Java|C++,359,286,S
SO,PAC,908045,E,0.67,139,216,0.0,Algorithms,,,,,937306,Python|Java|C++,359,286,S
SO,PAC,908045,E,0.67,139,216,0.0,Algorithms,,,,,937306,Python|Java|C++,359,286,S
SO,PAC,908045,E,0.67,139,216,0.0,Algorithms,,,,,937306,Python|Java|C++,359,286,S
SO,PAC,908045,E,0.67,139,216,0.0,Algorithms,,,,,937306,Python|Java|C++,359,286,S
SO,PAC,908045,E,0.67,139,216,0.0,Algorithms,,,,,937306,Python|Java|C++,359,286,S
SO,PAC,908045,E,0.67,139,216,0.0,Algorithms,,,,,937306,Python|Java|C++,359,286,S
SO,PAC,908045,E,0.67,139,216,0.0,Algorithms,,,,,937306,Python|Java|C++,359,286,S
SO,PAC,908045,E,0.67,139,216,0.0,Algorithms,,,,,937306,Python|Java|C++,359,286,S
SO,PAC,908045,E,0.67,139,216,0.0,Algorithms,,,,,937306,Python|Java|C++,359,286,S
SO,PAC,908045,E,0.67,139,216,0.0,Algorithms,,,,,937306,Python|Java|C++,359,286,S
SO,PAC,908045,E,0.67,139,216,0.0,Algorithms,,,,,937306,Python|Java|C++,359,286,S
SO,AC,908045,E,0.67,139,216,0.0,Algorithms,,,,,937306,Python|Java|C++,359,286,S
AT,PAC,906171,E,0.69,715,641,4.2,Ad-Hoc,Math,,,,952516,C|Java|Python|C++|C#|Ruby,72,212,S
AT,PAC,906171,E,0.69,715,641,4.2,Ad-Hoc,Math,,,,952516,C|Java|Python|C++|C#|Ruby,72,212,S
SO,AC,906171,E,0.69,715,641,4.2,Ad-Hoc,Math,,,,952516,C|Java|Python|C++|C#|Ruby,72,212,S
SO,AC,915534,,0.95,197,11,0.0,,,,,,1147811,C++,27,14,NA
SO,AC,908344,E,0.64,8922,7150,3.7,Basic Programming,Very Easy,,,,1047736,C#|C|Java,5,11,NA
SO,AC,908344,E,0.64,8922,7150,3.7,Basic Programming,Very Easy,,,,1047736,C#|C|Java,5,11,NA
SO,PAC,909931,E,0.92,1193,395,4.0,Basic Programming,,,,,994361,C|C++,177,120,NA
SO,AC,909931,E,0.92,1193,395,4.0,Basic Programming,,,,,994361,C|C++,177,120,NA
SO,PAC,909432,M,0.3,201,1976,0.0,Algorithms,,,,,969367,Python|C|Java|C++,14,12,S
SO,PAC,909432,M,0.3,201,1976,0.0,Algorithms,,,,,969367,Python|C|Java|C++,14,12,S
AT,PAC,913737,M,0.71,1348,3684,4.2,Dynamic Programming,Algorithms,,,,1101043,C,2,2,W
SO,PAC,935572,,0.92,100,13,3.2,,,,,,909865,C|Java|Python|C++|C#|PHP|Ruby,527,705,W
SO,PAC,935572,,0.92,100,13,3.2,,,,,,909865,C|Java|Python|C++|C#|PHP|Ruby,527,705,W
SO,PAC,935572,,0.92,100,13,3.2,,,,,,909865,C|Java|Python|C++|C#|PHP|Ruby,527,705,W
SO,PAC,935572,,0.92,100,13,3.2,,,,,,909865,C|Java|Python|C++|C#|PHP|Ruby,527,705,W
AT,PAC,904537,E,0.39,4857,10013,3.1,Ad-Hoc,,,,,1016333,C|C++,9,27,NA
SO,AC,904537,E,0.39,4857,10013,3.1,Ad-Hoc,,,,,1016333,C|C++,9,27,NA
AT,PAC,905131,E,0.56,3916,3843,3.7,Basic Programming,Ad-Hoc,,,,1159026,Python|C|Java,14,47,W
AT,PAC,905131,E,0.56,3916,3843,3.7,Basic Programming,Ad-Hoc,,,,1159026,Python|C|Java,14,47,W
SO,AC,907054,E,0.55,337,414,3.0,Data Structures,,,,,961807,C#|C|Java|C++,25,133,S
AT,PAC,913742,E,0.66,1298,1760,3.5,Ad-Hoc,,,,,1076986,C|C++,28,14,W
AT,PAC,913742,E,0.66,1298,1760,3.5,Ad-Hoc,,,,,1076986,C|C++,28,14,W
AT,PAC,913742,E,0.66,1298,1760,3.5,Ad-Hoc,,,,,1076986,C|C++,28,14,W
AT,PAC,914559,M,0.48,17,294,4.0,Data Structures,Algorithms,DFS,,,1109984,Java,35,18,W
AT,PAC,908043,E,0.66,51,840,0.0,Algorithms,,,,,923530,Python|C|Java|C++,74,354,S
AT,PAC,908043,E,0.66,51,840,0.0,Algorithms,,,,,923530,Python|C|Java|C++,74,354,S
SO,PAC,908043,E,0.66,51,840,0.0,Algorithms,,,,,923530,Python|C|Java|C++,74,354,S
SO,PAC,908043,E,0.66,51,840,0.0,Algorithms,,,,,923530,Python|C|Java|C++,74,354,S
SO,PAC,908043,E,0.66,51,840,0.0,Algorithms,,,,,923530,Python|C|Java|C++,74,354,S
SO,PAC,908043,E,0.66,51,840,0.0,Algorithms,,,,,923530,Python|C|Java|C++,74,354,S
SO,AC,908043,E,0.66,51,840,0.0,Algorithms,,,,,923530,Python|C|Java|C++,74,354,S
SO,PAC,908043,E,0.66,51,840,0.0,Algorithms,,,,,923530,Python|C|Java|C++,74,354,S
AT,PAC,908043,E,0.66,51,840,0.0,Algorithms,,,,,923530,Python|C|Java|C++,74,354,S
SO,PAC,908043,E,0.66,51,840,0.0,Algorithms,,,,,923530,Python|C|Java|C++,74,354,S
SO,PAC,908043,E,0.66,51,840,0.0,Algorithms,,,,,923530,Python|C|Java|C++,74,354,S
SO,PAC,908043,E,0.66,51,840,0.0,Algorithms,,,,,923530,Python|C|Java|C++,74,354,S
SO,PAC,908043,E,0.66,51,840,0.0,Algorithms,,,,,923530,Python|C|Java|C++,74,354,S
AT,PAC,908043,E,0.66,51,840,0.0,Algorithms,,,,,923530,Python|C|Java|C++,74,354,S
SO,PAC,908043,E,0.66,51,840,0.0,Algorithms,,,,,923530,Python|C|Java|C++,74,354,S
SO,AC,908043,E,0.66,51,840,0.0,Algorithms,,,,,923530,Python|C|Java|C++,74,354,S
SO,AC,910466,E,0.77,135,648,5.0,Math,,,,,911851,Python|C|JavaScript|Java|C++,135,135,S
SO,AC,918874,E,0.71,7297,3669,3.4,Ad-Hoc,String Algorithms,,,,1017355,C|Java|C++,114,181,W
SO,AC,909931,E,0.92,1193,395,4.0,Basic Programming,,,,,967463,C|Java|C++,176,468,S
AT,PAC,919103,E,0.67,267,756,3.6,Ad-Hoc,Implementation,,,,911854,Python|C|PHP|Java|C++,126,106,S
AT,PAC,919103,E,0.67,267,756,3.6,Ad-Hoc,Implementation,,,,911854,Python|C|PHP|Java|C++,126,106,S
AT,PAC,919103,E,0.67,267,756,3.6,Ad-Hoc,Implementation,,,,911854,Python|C|PHP|Java|C++,126,106,S
SO,AC,919103,E,0.67,267,756,3.6,Ad-Hoc,Implementation,,,,911854,Python|C|PHP|Java|C++,126,106,S
AT,PAC,926075,M,0.48,26,558,3.8,Bit manipulation,Bitmask,,,,1061785,Java,13,24,W
SO,PAC,926252,,0.9,75,33,3.5,,,,,,968941,Python|C|Java|Objective-C|C++,350,309,S
SO,AC,926252,,0.9,75,33,3.5,,,,,,968941,Python|C|Java|Objective-C|C++,350,309,S
SO,AC,903657,E,0.63,793,539,2.3,Ad-Hoc,,,,,941299,C|Java|C++,79,140,S
SO,AC,922985,E,0.92,1200,152,3.5,Graph Theory,Trees,,,,1194708,C++,16,7,NA
AT,PAC,909432,M,0.3,201,1976,0.0,Algorithms,,,,,958561,C|C++,106,160,NA
AT,PAC,909432,M,0.3,201,1976,0.0,Algorithms,,,,,958561,C|C++,106,160,NA
AT,PAC,909432,M,0.3,201,1976,0.0,Algorithms,,,,,958561,C|C++,106,160,NA
SO,AC,909432,M,0.3,201,1976,0.0,Algorithms,,,,,958561,C|C++,106,160,NA
AT,PAC,906957,E,0.72,2703,1570,3.1,Ad-Hoc,Basic Programming,Algorithms,,,937197,Python|C|Java|C++,47,82,S
AT,PAC,906957,E,0.72,2703,1570,3.1,Ad-Hoc,Basic Programming,Algorithms,,,937197,Python|C|Java|C++,47,82,S
AT,PAC,906957,E,0.72,2703,1570,3.1,Ad-Hoc,Basic Programming,Algorithms,,,937197,Python|C|Java|C++,47,82,S
SO,AC,906957,E,0.72,2703,1570,3.1,Ad-Hoc,Basic Programming,Algorithms,,,937197,Python|C|Java|C++,47,82,S
AT,PAC,913738,E,0.53,2241,8197,4.0,Implementation,Sorting,Algorithms,,,1213923,C++,10,51,NA
SO,PAC,913738,E,0.53,2241,8197,4.0,Implementation,Sorting,Algorithms,,,1213923,C++,10,51,NA
SO,PAC,913738,E,0.53,2241,8197,4.0,Implementation,Sorting,Algorithms,,,1213923,C++,10,51,NA
SO,PAC,913738,E,0.53,2241,8197,4.0,Implementation,Sorting,Algorithms,,,1213923,C++,10,51,NA
SO,PAC,913738,E,0.53,2241,8197,4.0,Implementation,Sorting,Algorithms,,,1213923,C++,10,51,NA
SO,AC,913738,E,0.53,2241,8197,4.0,Implementation,Sorting,Algorithms,,,1213923,C++,10,51,NA
SO,PAC,920448,H,0.87,56,581,3.8,Combinatorics,Brute Force,Dynamic Programming,Number Theory,,1103742,Python|C++,81,78,W
SO,PAC,920448,H,0.87,56,581,3.8,Combinatorics,Brute Force,Dynamic Programming,Number Theory,,1103742,Python|C++,81,78,W
SO,PAC,920448,H,0.87,56,581,3.8,Combinatorics,Brute Force,Dynamic Programming,Number Theory,,1103742,Python|C++,81,78,W
SO,PAC,920448,H,0.87,56,581,3.8,Combinatorics,Brute Force,Dynamic Programming,Number Theory,,1103742,Python|C++,81,78,W
SO,PAC,920448,H,0.87,56,581,3.8,Combinatorics,Brute Force,Dynamic Programming,Number Theory,,1103742,Python|C++,81,78,W
SO,PAC,920448,H,0.87,56,581,3.8,Combinatorics,Brute Force,Dynamic Programming,Number Theory,,1103742,Python|C++,81,78,W
SO,PAC,906705,H,0.88,20,207,0.0,Algorithms,,,,,909520,Python|C|Java|C++,16,49,W
SO,PAC,906705,H,0.88,20,207,0.0,Algorithms,,,,,909520,Python|C|Java|C++,16,49,W
SO,PAC,906705,H,0.88,20,207,0.0,Algorithms,,,,,909520,Python|C|Java|C++,16,49,W
SO,PAC,906705,H,0.88,20,207,0.0,Algorithms,,,,,909520,Python|C|Java|C++,16,49,W
